Player Name	Pos.	Birthdate	Birthplace	Province	Country	Start	End	GP	G	A	Pts	PIM	Yrs.	Lati	Longi
Don O'Donoghue	F	08/27/1949	Kingston	Ontario	Canada	1969	1972	125	18	17	35	35	3	44.230449	-76.487058
Dennis Kearns	D	09/27/1945	Kingston	Ontario	Canada	1971	1981	677	31	290	321	386	10	44.230449	-76.487058
Fred O'Donnell	L	12/06/1949	Kingston	Ontario	Canada	1972	1974	115	15	11	26	98	2	44.230449	-76.487058
Bob Dailey	D	05/03/1953	Kingston	Ontario	Canada	1973	1982	561	94	231	325	814	9	44.230449	-76.487058
Hugh Harvey	L	06/25/1949	Kingston	Ontario	Canada	1974	1976	18	1	1	2	4	2	44.230449	-76.487058
Cam Botting	R	03/10/1954	Kingston	Ontario	Canada	1975	1976	2	0	1	1	0	1	44.230449	-76.487058
Bob Murray	D	11/26/1954	Kingston	Ontario	Canada	1975	1990	1008	132	382	514	871	15	44.230449	-76.487058
Rob Plumb	C	08/29/1957	Kingston	Ontario	Canada	1977	1979	14	3	2	5	2	2	44.230449	-76.487058
Rick Paterson	F	02/10/1958	Kingston	Ontario	Canada	1978	1987	430	50	43	93	136	9	44.230449	-76.487058
Ken Linseman	F	08/11/1958	Kingston	Ontario	Canada	1978	1992	860	256	551	807	1727	14	44.230449	-76.487058
Ron Plumb	D	07/17/1950	Kingston	Ontario	Canada	1979	1980	26	3	4	7	14	1	44.230449	-76.487058
Scott Arniel	L	09/17/1962	Kingston	Ontario	Canada	1981	1992	730	149	189	338	599	11	44.230449	-76.487058
Doug Gilmour	C	06/25/1963	Kingston	Ontario	Canada	1983	2003	1474	450	964	1414	1301	20	44.230449	-76.487058
Mike Rowe	D	03/08/1965	Kingston	Ontario	Canada	1984	1987	11	0	0	0	11	3	44.230449	-76.487058
Chris Clifford	G	05/26/1966	Kingston	Ontario	Canada	1984	1989	2	0	0	0	0	2	44.230449	-76.487058
Kirk Muller	C	02/08/1966	Kingston	Ontario	Canada	1984	2003	1349	357	602	959	1223	19	44.230449	-76.487058
Trevor Stienburg	R	05/13/1966	Kingston	Ontario	Canada	1985	1989	71	8	4	12	161	4	44.230449	-76.487058
Shawn Evans	D	09/07/1965	Kingston	Ontario	Canada	1985	1990	9	1	0	1	2	2	44.230449	-76.487058
Peter Dineen	D	11/19/1960	Kingston	Ontario	Canada	1986	1990	13	0	2	2	13	2	44.230449	-76.487058
Mike Murray	C	08/29/1966	Kingston	Ontario	Canada	1987	1988	1	0	0	0	0	1	44.230449	-76.487058
Rob Brown	R	04/10/1968	Kingston	Ontario	Canada	1987	2000	543	190	248	438	599	11	44.230449	-76.487058
Todd Hawkins	L	08/02/1966	Kingston	Ontario	Canada	1988	1992	10	0	0	0	15	3	44.230449	-76.487058
Tony Cimellaro	C	06/14/1971	Kingston	Ontario	Canada	1992	1993	2	0	0	0	0	1	44.230449	-76.487058
Guy Leveque	C	12/28/1972	Kingston	Ontario	Canada	1992	1994	17	2	2	4	21	2	44.230449	-76.487058
Brandon Convery	C	02/04/1974	Kingston	Ontario	Canada	1995	1999	72	9	19	28	36	4	44.230449	-76.487058
Jay McKee	D	09/08/1977	Kingston	Ontario	Canada	1995	2010	802	21	104	125	622	14	44.230449	-76.487058
Andy Sutton	D	03/10/1975	Kingston	Ontario	Canada	1998	2012	676	38	112	150	1185	13	44.230449	-76.487058
Bryan Allen	D	08/21/1980	Kingston	Ontario	Canada	2000	2013	642	29	95	124	758	12	44.230449	-76.487058
Kip Brennan	L	08/27/1980	Kingston	Ontario	Canada	2001	2008	61	1	1	2	222	5	44.230449	-76.487058
John Erskine	D	06/26/1980	Kingston	Ontario	Canada	2001	2013	454	14	36	50	809	11	44.230449	-76.487058
John Tripp	R	05/04/1977	Kingston	Ontario	Canada	2002	2004	43	2	7	9	35	2	44.230449	-76.487058
Jay McClement	C	03/02/1983	Kingston	Ontario	Canada	2005	2013	601	71	123	194	234	8	44.230449	-76.487058
Mike Smith	G	03/22/1982	Kingston	Ontario	Canada	2006	2013	263	0	5	5	69	7	44.230449	-76.487058
Jamie Arniel	C	11/16/1989	Kingston	Ontario	Canada	2010	2011	1	0	0	0	0	1	44.230449	-76.487058
Taylor Hall	L	11/14/1991	Kingston	Ontario	Canada	2010	2013	171	65	80	145	96	3	44.230449	-76.487058
Mike Murphy	G	01/15/1989	Kingston	Ontario	Canada	2011	2012	2	0	0	0	0	1	44.230449	-76.487058
Willie Marshall	C	12/01/1931	Kirkland Lake	Ontario	Canada	1952	1959	33	1	5	6	2	4	48.150969	-80.03312
Dick Duff	L	02/18/1936	Kirkland Lake	Ontario	Canada	1954	1972	1030	283	289	572	743	18	48.150969	-80.03312
Larry Hillman	D	02/05/1937	Kirkland Lake	Ontario	Canada	1954	1973	791	36	196	232	579	19	48.150969	-80.03312
Carl "Buddy" Boone	R	09/11/1932	Kirkland Lake	Ontario	Canada	1956	1958	34	5	3	8	28	2	48.150969	-80.03312
Ralph Backstrom	C	09/18/1937	Kirkland Lake	Ontario	Canada	1956	1973	1032	278	361	639	386	17	48.150969	-80.03312
Wayne Hillman	D	11/13/1938	Kirkland Lake	Ontario	Canada	1960	1973	691	18	86	104	534	13	48.150969	-80.03312
Murray Hall	R	11/24/1940	Kirkland Lake	Ontario	Canada	1961	1972	164	35	48	83	46	9	48.150969	-80.03312
Chuck Hamilton	R	01/18/1939	Kirkland Lake	Ontario	Canada	1961	1973	4	0	2	2	2	2	48.150969	-80.03312
Don Blackburn	L	05/14/1938	Kirkland Lake	Ontario	Canada	1962	1973	185	23	44	67	87	6	48.150969	-80.03312
Bob Plager	D	03/11/1943	Kirkland Lake	Ontario	Canada	1964	1978	644	20	126	146	802	14	48.150969	-80.03312
Mike Walton	C	01/03/1945	Kirkland Lake	Ontario	Canada	1965	1979	588	201	247	448	357	12	48.150969	-80.03312
Mickey Redmond	R	12/27/1947	Kirkland Lake	Ontario	Canada	1967	1976	538	233	195	428	219	9	48.150969	-80.03312
Barclay Plager	D	03/25/1941	Kirkland Lake	Ontario	Canada	1967	1977	614	44	187	231	1115	10	48.150969	-80.03312
Earl Heiskala	L	11/30/1942	Kirkland Lake	Ontario	Canada	1968	1971	127	13	11	24	294	3	48.150969	-80.03312
Tom Webster	R	10/04/1948	Kirkland Lake	Ontario	Canada	1968	1980	102	33	42	75	61	5	48.150969	-80.03312
Dick Redmond	D	08/14/1949	Kirkland Lake	Ontario	Canada	1969	1982	771	133	312	445	504	13	48.150969	-80.03312
Bob Murdoch	D	05/17/1947	Kirkland Lake	Ontario	Canada	1970	1982	757	60	218	278	764	12	48.150969	-80.03312
Claude Noel	F	10/31/1955	Kirkland Lake	Ontario	Canada	1979	1980	7	0	0	0	0	1	48.150969	-80.03312
Dave Watson	F	05/19/1958	Kirkland Lake	Ontario	Canada	1979	1981	18	0	1	1	10	2	48.150969	-80.03312
Daren Puppa	G	03/23/1965	Kirkland Lake	Ontario	Canada	1985	2000	429	0	18	18	48	15	48.150969	-80.03312
Kurtis McLean	C	11/02/1980	Kirkland Lake	Ontario	Canada	2008	2009	4	1	0	1	0	1	48.150969	-80.03312
Lloyd Gross	L	09/15/1907	Kitchener	Ontario	Canada	1926	1935	62	11	5	16	20	3	43.434673	-80.478375
Ehrhardt "Ott" Heller	D	06/02/1910	Kitchener	Ontario	Canada	1931	1946	647	55	176	231	465	15	43.434673	-80.478375
Earl Seibert	D	12/07/1911	Kitchener	Ontario	Canada	1931	1946	653	89	187	276	768	15	43.434673	-80.478375
Woody Dumart	L	12/23/1916	Kitchener	Ontario	Canada	1935	1954	771	211	218	429	99	16	43.434673	-80.478375
Howard Mackie			Kitchener	Ontario	Canada	1936	1938	15	1	0	1	4	2	43.434673	-80.478375
Milt Schmidt	C	03/05/1918	Kitchener	Ontario	Canada	1936	1955	776	229	346	575	466	16	43.434673	-80.478375
Rudolph "Bingo" Kampman	D	03/12/1914	Kitchener	Ontario	Canada	1937	1942	189	14	30	44	287	5	43.434673	-80.478375
Wilbert "Dutch" Hiller	L	05/11/1915	Kitchener	Ontario	Canada	1937	1946	385	91	113	204	163	9	43.434673	-80.478375
John "Red" Keating	L	10/09/1916	Kitchener	Ontario	Canada	1938	1940	11	3	0	3	4	2	43.434673	-80.478375
Art Herchenratter	L	11/24/1917	Kitchener	Ontario	Canada	1940	1941	10	1	2	3	2	1	43.434673	-80.478375
Clarence "Dick" Behling	D	03/16/1915	Kitchener	Ontario	Canada	1940	1943	4	1	0	1	2	2	43.434673	-80.478375
Howie Meeker	R	11/04/1923	Kitchener	Ontario	Canada	1946	1954	346	83	102	185	329	8	43.434673	-80.478375
Ed Stankiewicz	R	12/01/1929	Kitchener	Ontario	Canada	1953	1956	6	0	0	0	2	2	43.434673	-80.478375
Earl "Dutch" Reibel	C	07/21/1930	Kitchener	Ontario	Canada	1953	1959	409	84	161	245	75	6	43.434673	-80.478375
Jim Mikol	D	06/11/1938	Kitchener	Ontario	Canada	1962	1965	34	1	4	5	8	2	43.434673	-80.478375
Gary Dornhoefer	R	02/02/1943	Kitchener	Ontario	Canada	1963	1978	787	214	328	542	1291	14	43.434673	-80.478375
Don Awrey	D	07/18/1943	Kitchener	Ontario	Canada	1963	1979	969	31	158	189	1065	16	43.434673	-80.478375
Larry Johnston	D	07/20/1943	Kitchener	Ontario	Canada	1967	1977	318	9	64	73	580	7	43.434673	-80.478375
Myron Stankiewicz	L	12/04/1935	Kitchener	Ontario	Canada	1968	1969	35	0	7	7	36	1	43.434673	-80.478375
Jim Krulicki	R	03/09/1948	Kitchener	Ontario	Canada	1970	1971	41	0	3	3	6	1	43.434673	-80.478375
Tom Miller	C	03/31/1947	Kitchener	Ontario	Canada	1970	1975	118	16	25	41	34	4	43.434673	-80.478375
Darryl Sittler	C	09/18/1950	Kitchener	Ontario	Canada	1970	1985	1096	484	637	1121	948	15	43.434673	-80.478375
Gary Kurt	G	03/09/1947	Kitchener	Ontario	Canada	1971	1972	16	0	0	0	0	1	43.434673	-80.478375
Dave Cressman	L	01/02/1950	Kitchener	Ontario	Canada	1974	1976	85	6	8	14	37	2	43.434673	-80.478375
Dave Maloney	D	07/31/1956	Kitchener	Ontario	Canada	1974	1985	657	71	246	317	1154	11	43.434673	-80.478375
Doug Risebrough	F	01/29/1954	Kitchener	Ontario	Canada	1974	1987	740	185	286	471	1542	13	43.434673	-80.478375
Paul Reinhart	D	01/08/1960	Kitchener	Ontario	Canada	1979	1990	648	133	427	560	277	11	43.434673	-80.478375
Bennett Wolf	D	10/23/1959	Kitchener	Ontario	Canada	1980	1983	30	0	1	1	133	3	43.434673	-80.478375
Don Beaupre	G	09/19/1961	Kitchener	Ontario	Canada	1980	1997	667	0	8	8	283	17	43.434673	-80.478375
Eric Calder	D	06/26/1963	Kitchener	Ontario	Canada	1981	1983	2	0	0	0	0	2	43.434673	-80.478375
Mike Blake	G	04/06/1956	Kitchener	Ontario	Canada	1981	1984	40	0	1	1	8	3	43.434673	-80.478375
Joe McDonnell	D	05/11/1961	Kitchener	Ontario	Canada	1981	1986	50	2	10	12	34	3	43.434673	-80.478375
Scott Stevens	D	04/01/1964	Kitchener	Ontario	Canada	1982	2004	1635	196	712	908	2785	22	43.434673	-80.478375
Mike Stevens	L	12/30/1965	Kitchener	Ontario	Canada	1984	1990	23	1	4	5	29	4	43.434673	-80.478375
Jim Sandlak	R	12/12/1966	Kitchener	Ontario	Canada	1985	1996	549	110	119	229	821	11	43.434673	-80.478375
Brian Bradley	C	01/21/1965	Kitchener	Ontario	Canada	1985	1998	651	182	321	503	528	13	43.434673	-80.478375
Steve Seftel	L	05/14/1968	Kitchener	Ontario	Canada	1990	1991	4	0	0	0	2	1	43.434673	-80.478375
Steven Rice	R	05/26/1971	Kitchener	Ontario	Canada	1990	1998	329	64	61	125	275	8	43.434673	-80.478375
Brad Schlegel	D	07/22/1968	Kitchener	Ontario	Canada	1991	1994	48	1	8	9	10	3	43.434673	-80.478375
Kevin Miehm	C	09/10/1969	Kitchener	Ontario	Canada	1992	1994	22	1	4	5	8	2	43.434673	-80.478375
Cam Stewart	L	09/18/1971	Kitchener	Ontario	Canada	1993	2001	202	16	23	39	120	6	43.434673	-80.478375
Nick Stajduhar	D	12/06/1974	Kitchener	Ontario	Canada	1995	1996	2	0	0	0	4	1	43.434673	-80.478375
Jamie Wright	L	05/13/1976	Kitchener	Ontario	Canada	1997	2003	124	12	20	32	54	6	43.434673	-80.478375
Rob Shearer	C	10/19/1976	Kitchener	Ontario	Canada	2000	2001	2	0	0	0	0	1	43.434673	-80.478375
Kevin Klein	D	12/13/1984	Kitchener	Ontario	Canada	2005	2013	356	15	64	79	89	8	43.434673	-80.478375
Kyle Quincey	D	08/12/1985	Kitchener	Ontario	Canada	2005	2013	293	19	79	98	268	8	43.434673	-80.478375
Dennis Wideman	D	03/20/1983	Kitchener	Ontario	Canada	2005	2013	581	73	200	273	389	8	43.434673	-80.478375
Mike Card	D	02/18/1986	Kitchener	Ontario	Canada	2006	2007	4	0	0	0	0	1	43.434673	-80.478375
Evan Brophey	C	12/03/1986	Kitchener	Ontario	Canada	2010	2012	4	0	0	0	0	2	43.434673	-80.478375
Mike Hoffman	C	11/24/1989	Kitchener	Ontario	Canada	2011	2013	4	0	0	0	2	2	43.434673	-80.478375
Mark Scheifele	C	03/15/1993	Kitchener	Ontario	Canada	2011	2013	11	1	0	1	0	2	43.434673	-80.478375
Tanner Pearson	L	08/10/1992	Kitchener	Ontario	Canada	2012	2013	0	0	0	0	0	1	43.434673	-80.478375
Marc Reaume	D	02/07/1934	LaSalle	Ontario	Canada	1954	1971	344	8	43	51	273	9	42.236105	-83.101492
Derek Wilkinson	G	07/29/1974	Lasalle	Ontario	Canada	1995	1999	22	0	0	0	2	4	42.236105	-83.101492
Zack Kassian	R	01/24/1991	LaSalle	Ontario	Canada	2011	2013	83	11	10	21	102	2	42.236105	-83.101492
Dalton Prout	D	03/13/1990	LaSalle	Ontario	Canada	2011	2013	33	1	6	7	25	2	42.236105	-83.101492
Randy Manery	D	01/10/1949	Leamington	Ontario	Canada	1970	1980	582	50	206	256	415	10	42.055049	-82.596118
Brad Selwood	D	03/18/1948	Leamington	Ontario	Canada	1970	1980	163	7	40	47	153	3	42.055049	-82.596118
Pat Ribble	D	04/26/1954	Leamington	Ontario	Canada	1975	1983	349	19	60	79	365	8	42.055049	-82.596118
Kirk Bowman	L	09/30/1952	Leamington	Ontario	Canada	1976	1979	88	11	17	28	19	3	42.055049	-82.596118
Kris Manery	F	09/24/1954	Leamington	Ontario	Canada	1977	1981	250	63	64	127	91	4	42.055049	-82.596118
Tim Hrynewich	L	10/02/1963	Leamington	Ontario	Canada	1982	1984	55	6	8	14	82	2	42.055049	-82.596118
Frank St. Marseille	R	12/14/1939	Levack	Ontario	Canada	1967	1977	707	140	285	425	242	10	46.640572	-81.38833
Dave Taylor	F	12/04/1955	Levack	Ontario	Canada	1977	1994	1111	431	638	1069	1589	17	46.640572	-81.38833
Joe Primeau	C	01/29/1906	Lindsay	Ontario	Canada	1927	1936	309	66	177	243	105	9	44.356604	-78.740553
Ron Ellis	R	01/08/1945	Lindsay	Ontario	Canada	1963	1981	1034	332	308	640	207	16	44.356604	-78.740553
Bill Speer	D	03/20/1942	Lindsay	Ontario	Canada	1967	1971	130	5	20	25	79	4	44.356604	-78.740553
Joe Junkin	G	09/08/1946	Lindsay	Ontario	Canada	1968	1969	1	0	0	0	0	1	44.356604	-78.740553
Don Maloney	F	09/05/1958	Lindsay	Ontario	Canada	1978	1991	765	214	350	564	815	13	44.356604	-78.740553
Tom Thornbury	D	03/17/1963	Lindsay	Ontario	Canada	1983	1984	14	1	8	9	16	1	44.356604	-78.740553
Jamie Allison	D	05/13/1975	Lindsay	Ontario	Canada	1994	2006	372	7	23	30	639	10	44.356604	-78.740553
David Roche	L	06/13/1975	Lindsay	Ontario	Canada	1995	2002	171	15	15	30	334	5	44.356604	-78.740553
George Hay	L	01/10/1898	Listowel	Ontario	Canada	1926	1933	239	74	60	134	84	6	43.733981	-80.951256
Paul McIntosh	D	03/13/1954	Listowel	Ontario	Canada	1974	1976	48	0	2	2	66	2	43.733981	-80.951256
Larry Huras	D	07/08/1955	Listowel	Ontario	Canada	1976	1977	2	0	0	0	0	1	43.733981	-80.951256
Darwin McCutcheon	D	04/19/1962	Listowel	Ontario	Canada	1981	1982	1	0	0	0	2	1	43.733981	-80.951256
Jeff Bloemberg	D	01/31/1968	Listowel	Ontario	Canada	1988	1992	43	3	6	9	25	4	43.733981	-80.951256
Andrew Desjardins	C	07/27/1986	Lively	Ontario	Canada	2010	2013	135	7	16	23	112	3	46.353029	-81.33388
George "Goldie" Prodger		2/18/1891	London	Ontario	Canada	1919	1926	134	63	22	85	33	7	42.98782	-81.241753
Abby Cox	G	07/19/1904	London	Ontario	Canada	1929	1936	5	0	0	0	0	3	42.98782	-81.241753
Tommy Filmore	R	03/14/1906	London	Ontario	Canada	1930	1934	116	17	12	29	33	4	42.98782	-81.241753
Jack Howard	D	10/15/1915	London	Ontario	Canada	1936	1937	2	0	0	0	0	1	42.98782	-81.241753
Doug Jarrett	D	04/22/1944	London	Ontario	Canada	1964	1977	775	38	182	220	631	13	42.98782	-81.241753
Walt McKechnie	C	06/19/1947	London	Ontario	Canada	1967	1983	955	214	392	606	469	16	42.98782	-81.241753
Don Luce	C	10/02/1948	London	Ontario	Canada	1969	1982	894	225	328	553	364	13	42.98782	-81.241753
Murray McLachlan	G	10/20/1948	London	Ontario	Canada	1970	1971	2	0	0	0	0	1	42.98782	-81.241753
Rod Graham	L	08/19/1946	London	Ontario	Canada	1974	1975	14	2	1	3	7	1	42.98782	-81.241753
Paul Nicholson	L	02/15/1954	London	Ontario	Canada	1974	1977	62	4	8	12	18	3	42.98782	-81.241753
Mike Boland	D	10/29/1954	London	Ontario	Canada	1974	1979	23	1	2	3	29	2	42.98782	-81.241753
Dave Hutchison	D	05/02/1952	London	Ontario	Canada	1974	1984	584	19	97	116	1550	10	42.98782	-81.241753
Colin Campbell	D	01/28/1953	London	Ontario	Canada	1974	1985	636	25	103	128	1292	11	42.98782	-81.241753
Andy Spruce	L	04/17/1954	London	Ontario	Canada	1976	1979	172	31	42	73	111	3	42.98782	-81.241753
Brad Marsh	D	03/31/1958	London	Ontario	Canada	1978	1993	1086	23	175	198	1241	15	42.98782	-81.241753
Reg Thomas	C	04/21/1953	London	Ontario	Canada	1979	1980	39	9	7	16	6	1	42.98782	-81.241753
Greg Hotham	D	03/07/1956	London	Ontario	Canada	1979	1985	230	15	74	89	139	6	42.98782	-81.241753
Craig MacTavish	C	08/15/1958	London	Ontario	Canada	1979	1997	1093	213	267	480	891	17	42.98782	-81.241753
Randy MacGregor	F	07/09/1953	London	Ontario	Canada	1981	1982	2	1	1	2	2	1	42.98782	-81.241753
Steve Stoyanovich	C	05/02/1957	London	Ontario	Canada	1983	1984	23	3	5	8	11	1	42.98782	-81.241753
Ken Hammond	D	08/22/1963	London	Ontario	Canada	1984	1993	193	18	29	47	290	8	42.98782	-81.241753
Craig Simpson	L	02/15/1967	London	Ontario	Canada	1985	1995	634	247	250	497	659	10	42.98782	-81.241753
Craig Billington	G	09/11/1966	London	Ontario	Canada	1985	2003	332	0	6	6	42	15	42.98782	-81.241753
Joe Murphy	R	10/16/1967	London	Ontario	Canada	1986	2001	779	233	295	528	810	15	42.98782	-81.241753
Ken Duggan	D	02/21/1963	London	Ontario	Canada	1987	1988	1	0	0	0	0	1	42.98782	-81.241753
Jeff Hackett	G	06/01/1968	London	Ontario	Canada	1988	2004	500	0	9	9	62	15	42.98782	-81.241753
Bill Armstrong	L	06/25/1966	London	Ontario	Canada	1990	1991	1	0	1	1	0	1	42.98782	-81.241753
Mike Craig	R	06/06/1971	London	Ontario	Canada	1990	2002	423	71	97	168	550	9	42.98782	-81.241753
Scott Thornton	C	01/09/1971	London	Ontario	Canada	1990	2008	941	144	141	285	1459	17	42.98782	-81.241753
Mike Lenarduzzi	G	09/14/1972	London	Ontario	Canada	1992	1994	4	0	0	0	0	2	42.98782	-81.241753
Eric Lindros	C	02/28/1973	London	Ontario	Canada	1992	2007	760	372	493	865	1398	13	42.98782	-81.241753
Brett Lindros	R	12/02/1975	London	Ontario	Canada	1994	1996	51	2	5	7	147	2	42.98782	-81.241753
Barrie Moore	L	05/22/1975	London	Ontario	Canada	1995	2000	39	2	6	8	18	3	42.98782	-81.241753
Dwayne Hay	L	02/11/1977	London	Ontario	Canada	1997	2001	79	2	4	6	22	4	42.98782	-81.241753
Joe Thornton	C	07/02/1979	London	Ontario	Canada	1997	2013	1125	331	787	1118	989	15	42.98782	-81.241753
Mike Van Ryn	D	05/14/1979	London	Ontario	Canada	2000	2009	353	30	99	129	260	8	42.98782	-81.241753
Jason Williams	C	08/11/1980	London	Ontario	Canada	2000	2012	455	94	133	227	157	11	42.98782	-81.241753
Jeff Paul	D	03/01/1978	London	Ontario	Canada	2002	2003	2	0	0	0	7	1	42.98782	-81.241753
Charlie Stephens	C	04/05/1981	London	Ontario	Canada	2002	2004	8	0	2	2	4	2	42.98782	-81.241753
Greg Campbell	C	12/17/1983	London	Ontario	Canada	2003	2013	569	54	89	143	526	9	42.98782	-81.241753
Cody McCormick	C	04/18/1983	London	Ontario	Canada	2003	2013	329	18	36	54	458	9	42.98782	-81.241753
Jeff Carter	C	01/01/1985	London	Ontario	Canada	2005	2013	564	228	182	410	320	8	42.98782	-81.241753
Mark Mancari	R	07/11/1985	London	Ontario	Canada	2006	2012	42	3	10	13	22	5	42.98782	-81.241753
Brandon Prust	L	03/16/1984	London	Ontario	Canada	2006	2013	317	29	48	77	722	6	42.98782	-81.241753
Curtis McElhinney	G	05/23/1983	London	Ontario	Canada	2007	2012	69	0	1	1	2	5	42.98782	-81.241753
Sam Gagner	C	08/10/1989	London	Ontario	Canada	2007	2013	414	91	167	258	203	6	42.98782	-81.241753
Bryan Rodney	D	04/22/1984	London	Ontario	Canada	2008	2012	34	1	12	13	12	4	42.98782	-81.241753
Drew Doughty	D	12/08/1989	London	Ontario	Canada	2008	2013	364	49	135	184	283	5	42.98782	-81.241753
Logan Couture	C	03/28/1989	London	Ontario	Canada	2009	2013	232	89	78	167	67	4	42.98782	-81.241753
Nazem Kadri	C	10/06/1990	London	Ontario	Canada	2009	2013	99	26	37	63	39	4	42.98782	-81.241753
Brett MacLean	L	12/24/1988	London	Ontario	Canada	2010	2012	18	2	3	5	4	2	42.98782	-81.241753
Matt Hackett	G	03/07/1990	London	Ontario	Canada	2011	2013	13	0	0	0	0	2	42.98782	-81.241753
Ben Street	C	02/13/1987	London	Ontario	Canada	2012	2013	6	0	1	1	0	1	42.98782	-81.241753
Jesse Winchester	C	10/04/1983	Long Sault	Ontario	Canada	2007	2012	233	11	41	52	121	5	49.218644	-81.032036
Murray Murdoch	L	05/19/1904	Lucknow	Ontario	Canada	1926	1937	507	84	108	192	197	11	43.961387	-81.512986
Lloyd Cook	D	03/21/1890	Lynden	Ontario	Canada	1924	1925	4	1	0	1	0	1	43.229745	-80.144761
Reginald "Red" Horner	D	05/29/1909	Lynden	Ontario	Canada	1928	1940	490	42	110	152	1264	12	43.229745	-80.144761
Duke Wellington		8/4/1891	Madoc	Ontario	Canada	1919	1920	1	0	0	0	0	1	44.505208	-77.472592
Mike Moher	R	03/26/1962	Manitouwadge	Ontario	Canada	1982	1983	9	0	1	1	28	1	49.125117	-85.826957
Eddie Lowrey		8/13/1891	Manotick	Ontario	Canada	1917	1921	24	2	0	2	6	3	45.226445	-75.68636
Justin DiBenedetto	L	08/25/1988	Maple	Ontario	Canada	2010	2011	8	0	1	1	2	1	43.855372	-79.516763
Brad Tiley	D	07/05/1971	Markdale	Ontario	Canada	1997	2001	11	0	0	0	0	3	44.31876	-80.647775
Chris Neil	R	06/18/1979	Markdale	Ontario	Canada	2001	2013	779	94	118	212	2005	11	44.31876	-80.647775
Steven Stamkos	C	02/07/1990	Markham	Ontario	Canada	2008	2013	373	208	178	386	249	5	43.858216	-79.337304
Cameron Gaunce	D	03/19/1990	Markham	Ontario	Canada	2010	2011	11	1	0	1	16	1	43.858216	-79.337304
Jeff Skinner	C	05/16/1992	Markham	Ontario	Canada	2010	2013	188	64	67	131	128	3	43.858216	-79.337304
Ryan Murphy	D	03/31/1993	Markham	Ontario	Canada	2012	2013	4	0	0	0	2	1	43.858216	-79.337304
Greg Terrion	F	05/02/1960	Marmora	Ontario	Canada	1980	1988	561	93	150	243	339	8	44.483225	-77.682018
Pete Horeck	R	06/15/1923	Massey	Ontario	Canada	1944	1952	426	106	118	224	340	8	46.212639	-82.07753
Bob McCord	R	03/20/1934	Matheson	Ontario	Canada	1963	1973	316	10	58	68	262	7	48.533285	-80.463368
Eddie Rodden	C	3/22/1901	Mattawa	Ontario	Canada	1926	1931	97	6	14	20	60	4	46.317536	-78.702402
Darren Pang	G	02/17/1964	Meaford	Ontario	Canada	1984	1989	81	0	9	9	6	3	44.606145	-80.594448
Herb Mitchell		1/4/1896	Meaford	Ontario	Canada	1924	1926	53	6	0	6	56	2	44.604923	-80.591358
Melville "Sparky" Vail		7/5/1906	Meaford	Ontario	Canada	1928	1930	50	4	1	5	18	2	44.750732	-79.89368
Herbert Drury	D	03/02/1895	Midland	Ontario	Canada	1925	1931	213	24	13	37	203	6	44.750732	-79.89368
Mike Robitaille	D	02/12/1948	Midland	Ontario	Canada	1969	1977	382	23	105	128	280	8	44.750732	-79.89368
Wayne King	F	09/04/1951	Midland	Ontario	Canada	1973	1976	73	5	18	23	34	3	44.750732	-79.89368
Alex McKendry	F	11/21/1956	Midland	Ontario	Canada	1977	1981	46	3	6	9	21	4	44.750732	-79.89368
Danny Syvret	D	06/13/1985	Millgrove	Ontario	Canada	2005	2011	59	3	4	7	30	5	43.336316	-79.958137
Enio Sclisizzi	L	08/01/1925	Milton	Ontario	Canada	1946	1953	81	12	11	23	26	6	43.518402	-79.876518
Peter McDuffe	G	02/16/1948	Milton	Ontario	Canada	1971	1976	57	0	1	1	2	5	43.518402	-79.876518
Mike Kaszycki	F	02/27/1956	Milton	Ontario	Canada	1977	1983	226	42	80	122	108	5	43.518402	-79.876518
Darren Eliot	G	11/26/1961	Milton	Ontario	Canada	1984	1989	89	0	2	2	24	5	43.518402	-79.876518
Darren Haydar	R	10/22/1979	Milton	Ontario	Canada	2002	2010	23	1	7	8	2	4	43.518402	-79.876518
Ed Harrison	C	07/25/1927	Mimico	Ontario	Canada	1947	1951	194	27	24	51	53	4	43.612615	-79.494098
Brendan Shanahan	L	01/23/1969	Mimico	Ontario	Canada	1987	2009	1524	656	698	1354	2489	21	43.612615	-79.494098
Dave Bolland	C	06/05/1986	Mimico	Ontario	Canada	2006	2013	332	70	98	168	211	7	43.612615	-79.494098
Edgar Laprade	C	10/10/1919	Mine Center	Ontario	Canada	1945	1955	500	108	172	280	42	10	48.76699	-92.616946
Frank Foyston	C	02/02/1891	Minesing	Ontario	Canada	1926	1928	65	17	7	24	32	2	44.415453	-79.854768
Greg Gilbert	F	01/22/1962	Mississauga	Ontario	Canada	1981	1996	837	150	228	378	576	15	43.588039	-79.64253
Don Biggs	C	04/07/1965	Mississauga	Ontario	Canada	1984	1990	12	2	0	2	8	2	43.588039	-79.64253
Bruce Shoebottom	D	08/20/1963	Mississauga	Ontario	Canada	1987	1991	35	1	4	5	53	4	43.588039	-79.64253
Bill McDougall	C	08/10/1966	Mississauga	Ontario	Canada	1990	1994	28	5	5	10	12	3	43.588039	-79.64253
Jeff Shevalier	L	03/14/1974	Mississauga	Ontario	Canada	1994	2000	32	5	9	14	8	3	43.588039	-79.64253
Grant Marshall	R	06/09/1973	Mississauga	Ontario	Canada	1994	2006	700	92	147	239	793	11	43.588039	-79.64253
